;2.9.;3.9.;8.9.;9.9.;10.9.;16.9.;17.9.;22.9.;23.9.;30.9.
Clocks (Cristian Poow Nu Disco Remix) (Extended);1;1;1;1;1;1;1;1;1;1
Let's Get Loud;1;1;1;1;1;1;1;1;1;1
Blinding Lights;1;1;1;1;1;1;1;1;1;0
Can't Stop The Feeling! (Erick Decks Club Rework);1;1;1;0;1;1;1;1;1;1
Luis_Fonsi-Despacito_(Maribellos_Wiggle It Bootleg);1;1;1;1;1;1;1;1;1;0
Everybody (Backstreet's Back) [Radio Edit]/Radio Edit;1;1;1;1;1;1;1;1;1;0
Party Mix I;1;1;1;1;1;1;1;0;1;1
Welcome To St. Tropez [feat. Kalenna] [DJ Antoine Vs. Mad Mark Remix]/DJ Antoine Vs. Mad Mark Remix;1;1;1;1;1;1;1;1;1;0
Sing Hallelujah!;1;1;1;1;1;1;1;1;1;0
Layla;1;1;1;1;1;1;1;0;1;1
Sch|ttel deinen Speck;1;1;1;1;1;1;1;1;1;0
Disparate Youth;1;1;1;1;1;1;1;0;1;0
Around The World (Extended);1;1;1;0;1;0;1;1;1;1
"Don't Stop 'Til You Get Enough (Dj ""S"" Bootleg Dance Remix)";1;1;1;0;0;1;1;1;1;1
Copacabana (DJ BLIZZ MIXSHOW);1;1;1;1;1;1;1;0;1;0
Hulapalu (Harris & Ford Extended Mix);1;1;1;1;0;1;1;0;1;1
Ain't Nobody (Double A ReDrum) (Clean Short);0;1;1;1;1;1;1;1;0;1
The Bad Touch;0;1;0;1;1;1;1;1;1;1
Danza Kuduro;0;0;1;1;1;1;1;1;1;1
Pepas x Danza kuduro;0;0;1;1;1;1;1;1;1;1
Lola's Theme;0;1;0;0;1;1;1;1;1;1
Levitating (Intro Clean);1;1;0;0;1;1;1;1;0;1
24K Magic;1;0;1;1;1;1;1;1;0;0
This Time It's My Life - Extended Club Mix;1;1;1;0;1;1;1;0;1;0
Young Right Now (Extended Mix);1;1;1;1;0;1;1;0;0;1
Dicht im Flieger;1;1;1;1;1;0;1;0;1;0
Atemlos durch die Nacht (Bassflow Extended Main Remake);1;1;1;1;0;1;1;1;0;0
Played-A-Live (The Bongo Song);1;1;1;1;0;1;1;0;1;0
Shed A Light (Extended Version);0;1;1;0;0;1;1;1;1;1
A Sky Full of Stars (Robin Schulz Remix);0;1;1;0;1;1;1;0;1;1
Crazy In Love (Jim Craane Extended Mix);0;1;1;1;0;1;1;1;1;0
Sugar (feat. Francesco Yates) (Extended Mix);0;1;1;1;0;1;1;1;0;1
Hall Of Fame [Original Version];1;1;0;1;1;1;1;0;0;0
Empire State Of Mind [Jay-Z + Alicia Keys]/Jay-Z + Alicia Keys;1;1;1;1;1;0;0;0;0;1
You Can't Hurry Love;1;1;0;0;1;1;0;0;1;1
Good Morning - Just Kiddin Remix;1;0;1;0;1;1;1;0;1;0
Phänomenal;1;0;1;0;1;1;1;0;1;0
Levels [Original Version]/Original Version;1;0;1;0;0;1;1;1;1;0
Insomnia [Monster Mix]/Monster Mix;1;0;1;0;0;1;1;1;0;1
Gimme! Gimme! Gimme! (A Man After Midnight) (Short Edit);1;0;0;1;0;1;1;1;1;0
Apache 207 - Roller (Intro);1;1;0;1;1;1;0;0;0;1
Pepas - Robin Schulz Remix;1;0;0;1;1;1;1;0;0;1
Low (BPM Supreme Slam Edit) (Clean Extended);1;1;0;0;1;1;1;0;1;0
Billie Jean (Clean);1;1;0;0;0;0;1;1;1;1
Fireworks (Extended Mix);0;1;0;0;1;1;1;0;1;1
Heart To Heart;0;1;1;0;1;1;1;0;1;0
Moves Like Jagger [Studio Recording From The Voice Performance]/Studio Recording From The Voice Performance;0;1;1;0;0;1;1;0;1;1
Sun Is Shining (Clean Extended);0;0;1;1;0;1;1;1;0;1
One Kiss (Denis First & Reznikov Remix) [Extended Mix] (promodj.com);0;0;1;1;1;1;1;1;0;0
Macarena;0;0;1;0;1;1;1;1;1;0
Can't Hold Us;0;0;1;1;1;1;1;0;1;0
After Ceremony Mix 2021;0;0;1;1;0;1;1;0;0;1
OMI - Hula Hoop (MIKI Instrumental);1;1;1;0;0;0;1;0;1;0
Treasure (Cosmic Dawn Radio Edit);1;1;0;0;0;0;1;1;1;0
Verlieben, Verloren, Vergessen, Verzeih'n;1;1;0;0;0;1;1;0;1;0
Ohne mein Team;1;1;1;1;1;0;0;0;0;0
Monster;1;1;0;0;1;1;1;0;0;0
Senorita;1;0;0;0;1;1;1;1;0;0
Wir sagen danke schön;1;1;0;0;0;1;1;0;1;0
Watch Out For this [Bumaye] (DJ B-Boy PartyBreak - Transition 128 - 108 BPM);1;1;0;0;1;0;0;1;1;0
Conga;1;0;1;1;1;1;0;0;0;0
07 Are You With Me (Extended Mix);0;1;0;0;0;1;1;1;1;0
Get Down Tonight;0;1;0;0;1;1;1;0;1;0
Oxygen (Clean Extended);0;1;1;0;0;1;1;1;0;0
Fireflies (HH Clean Intro);0;1;0;0;1;0;1;1;0;1
Candyman;0;1;0;0;1;1;1;0;1;0
Taki Taki (with Selena Gomez, Ozuna & Cardi B);0;1;1;1;1;1;0;0;0;0
Boom Boom;0;1;1;1;1;0;0;0;1;0
Temperature [Album Version]/Album Version;0;1;1;1;1;1;0;0;0;0
Omi - Cheerleader (DJOK! Classic House Remix);0;0;1;0;1;1;0;1;0;1
Unbezwingbar;0;0;1;0;0;1;1;0;1;1
Yeah (Tobi S. Ultramix Extended) 105bpm;0;0;1;0;1;1;0;0;1;1
All Night Long (Heavy Hits Quantized Edit) (Clean Short);0;0;0;0;1;1;1;1;0;1
Dopamin (Extended MIx);1;0;1;0;0;1;0;0;1;0
Unterwegs;1;1;0;0;0;0;1;1;0;0
Ticket;1;1;1;0;0;1;0;0;0;0
In Your Arms (For An Angel);1;0;0;0;0;1;0;0;1;1
Infinity 2018 - Extended Mix;1;1;0;0;0;0;0;1;0;1
Lovefool (Extended Mix);1;1;0;0;0;0;0;1;0;1
Single Ladies (Put A Ring On It);1;0;0;0;1;0;1;0;1;0
Lost Frequencies - Where Are You Now (FÄT TONY Remix);1;1;0;1;0;1;0;0;0;0
Sandstorm (DJcity Short Edit);1;0;0;0;1;1;1;0;0;0
Party Rock Anthem;1;1;0;0;1;0;1;0;0;0
Sky And Sand;1;0;0;1;0;0;0;1;1;0
Wir sind groß;0;1;0;0;0;1;1;0;1;0
I Don't Care (with Justin Bieber);0;1;0;1;1;0;0;1;0;0
Protectors of the Earth;0;1;0;0;1;0;1;1;0;0
Hung Up;0;1;0;0;1;1;1;0;0;0
Wake Me Up;0;1;0;1;0;1;0;0;1;0
And The Beat Goes On (JEKEY Quantized & Remastered Edit) (Clean);0;1;1;0;1;0;0;1;0;0
I Know You Want Me (calle ocho) [Extended]/Extended;0;1;0;0;0;0;1;1;1;0
Ding;0;1;1;0;1;0;1;0;0;0
Summer (Extended Mix);0;1;1;0;0;0;0;1;0;1
Gasolina (BPM Supreme Slam Edit) (Clean Short Edit);0;1;1;1;0;1;0;0;0;0
Pepas;0;0;1;0;0;0;1;1;0;1
Stayin' Alive - GRAYMATTER Remix;0;0;1;0;0;0;1;0;1;1
James Hype feat. Kelli-Leigh - More Than Friends (Denis First Remix);0;0;1;1;1;0;0;1;0;0
Don't Stop Me Now;0;0;1;0;0;1;1;0;0;1
Ferrari;0;0;0;1;1;1;1;0;0;0
Hypnotized;0;0;0;0;1;1;1;0;0;1
Lady (Hear Me Tonight) - Darren After Remix;0;0;0;0;0;0;1;1;1;1
Hello (Club Edit) [Club Edit]/Club Edit;1;1;0;0;0;0;0;1;0;0
The Rhythm of the Night - Extended Mix;1;1;0;0;0;0;0;0;0;1
PHOTOGRAPH (RO´S REMIX EDIT 2K15);1;0;0;0;1;1;0;0;0;0
Warum hast du nicht nein gesagt (Club Mix);1;0;0;1;0;0;1;0;0;0
Bad (feat. Vassy) (Original Mix);1;0;0;0;1;0;0;0;1;0
Paradise;1;0;0;0;1;0;0;1;0;0
Wahnsinn;1;0;0;0;0;1;1;0;0;0
What Is Love;1;0;0;0;1;0;1;0;0;0
Rock This Party (Club Mix);1;1;0;0;0;1;0;0;0;0
Sonnentanz [Original Version];1;0;0;1;0;0;1;0;0;0
DJ Got Us Fallin In Love (BPM Supreme Slam Edit) (Clean Extended);1;0;0;0;0;0;1;0;1;0
Anton Aus Tirol (Party Mix);1;0;0;0;1;0;1;0;0;0
Ain't Nobody - Instrumental Dance Mix;0;1;0;0;0;0;1;0;1;0
Sun Goes Down (feat. Jasmine Thompson) (Extended Vocal Mix);0;1;1;0;0;0;0;1;0;0
Came Here for Love;0;1;1;0;0;1;0;0;0;0
Musik sein;0;1;0;0;1;0;1;0;0;0
Wanna Be Startin' Somethin';0;1;0;0;0;0;1;0;1;0
Shut Up And Dance (Avalonn Quick Edit);0;1;0;0;0;0;1;1;0;0
WannaBe (Radio Edit);0;1;0;0;1;0;1;0;0;0
Der Zug hat keine Bremse - Mallorcastyle Edition;0;1;0;0;1;0;1;0;0;0
Mammoth;0;1;0;0;0;1;0;0;1;0
Love Tonight - Edit;0;1;0;1;0;0;0;1;0;0
Shake It Off;0;1;0;0;1;0;0;0;1;0
Love Is Gone (Fred Riester & Joachim Garraud Rm);0;1;0;0;1;1;0;0;0;0
Manila;0;0;1;0;1;0;0;0;1;0
Sugar (feat. Francesco Yates) (Henri PFR Remix);0;0;1;0;0;0;0;1;1;0
Remedy;0;0;1;0;1;0;1;0;0;0
Happy;0;0;1;1;0;0;0;0;0;1
Aserejé;0;0;1;0;0;0;0;1;1;0
Friday (Dopamine Re-Edit) (Clean Extended);0;0;0;1;0;0;0;1;0;1
Play;0;0;0;1;1;1;0;0;0;0
Infinity;0;0;0;1;0;1;1;0;0;0
Levels The Good Feeling (DJ EU Bootleg QH);0;0;0;1;1;0;0;1;0;0
Love Don't Let Me Bad (DJ B-Boy Bootleg);0;0;0;1;0;0;1;1;0;0
Belly Dancer;0;0;0;1;0;1;0;0;1;0
Angels;0;0;0;1;0;1;1;0;0;0
Bella Ciao Hugel Rip.128;0;0;0;0;1;0;1;1;0;0
Do It To It;0;0;0;0;1;0;1;0;1;0
Tearin' Up My Heart;0;0;0;0;1;1;1;0;0;0
Aloha Heja He;0;0;0;0;1;1;1;0;0;0
Empire State Of Mind [Jay-Z + Alicia Keys] [Explicit Album Version]/Explicit Album Version;0;0;0;0;0;1;1;0;1;0
Move Your Body - MFresh Ferrari Toneplay Edit (Short Edit);0;0;0;0;0;1;1;1;0;0
Blinding Lights - Late Night Piano Remix;0;0;0;0;0;0;1;0;1;1
Blinding Lights (BPM Supreme Break Intro) (Clean Extended);0;0;0;0;0;0;0;1;1;1
Alors On Danse;1;0;0;1;0;0;0;0;0;0
No Games;1;0;0;0;1;0;0;0;0;0
Drop It Like It's Hot;1;0;0;0;0;1;0;0;0;0
Thrift Shop;1;0;0;1;0;0;0;0;0;0
Let Me Think About It [Club Mix];1;1;0;0;0;0;0;0;0;0
Personal Jesus (Remastered Version);1;0;0;0;0;0;0;0;0;1
I Wanna Dance With Somebody (Remastered: 2000);1;0;0;0;0;0;0;0;1;0
1000 Träume Weit (Tornero);1;0;0;0;0;0;0;0;1;0
In Da Club [Album Version (Explicit)]/Album Version (Explicit);1;0;0;1;0;0;0;0;0;0
Bella Donna;1;0;0;0;1;0;0;0;0;0
Macarena (Tobi Schagen Bootleg);1;0;0;1;0;0;0;0;0;0
Mr. Brightside;1;1;0;0;0;0;0;0;0;0
Anthem;0;1;0;0;0;0;0;1;0;0
Moth To A Flame (with The Weeknd) - Extended Mix;0;1;1;0;0;0;0;0;0;0
Clocks;0;1;0;0;0;1;0;0;0;0
Rise (feat. Tasita D'Mour);0;1;0;0;1;0;0;0;0;0
Stevie Knows - 7th Heaven Remix;0;1;0;0;0;0;0;1;0;0
My Name Is Lincoln;0;1;0;0;0;0;1;0;0;0
Sunny (JEKEY Quantized & Remastered Edit) (Clean);0;1;0;0;0;0;0;1;0;0
On The Floor;0;1;1;0;0;0;0;0;0;0
September (Intro Clean);0;1;0;0;0;1;0;0;0;0
Levels [Original Version];0;1;0;0;0;0;0;0;0;1
Red Flag;0;1;0;0;0;1;0;0;0;0
Last Resort [Album Version (Ex)]/Album Version (Ex);0;1;0;0;0;1;0;0;0;0
DJ Got Us Fallin' In Love;0;1;0;0;0;0;0;1;0;0
Because You Move Me;0;1;0;1;0;0;0;0;0;0
Ich schwanke noch;0;1;0;0;0;0;1;0;0;0
Was Du Liebe nennst;0;1;0;0;0;0;1;0;0;0
Kernkraft 400;0;1;0;0;0;0;0;1;0;0
Chunky;0;1;0;1;0;0;0;0;0;0
Breaking Free (Highschool Musical) Extended Mix;0;1;0;1;0;0;0;0;0;0
Bück Dich Hoch;0;1;0;0;0;0;1;0;0;0
Hit the road jack vs Get down (Madritano Mashup);0;1;0;0;1;0;0;0;0;0
Without Me (Intro Dirty);0;1;0;0;0;0;0;0;0;1
Disco Pogo (Atzen Musik Mix);0;1;0;0;1;0;0;0;0;0
Hallucination;0;0;1;0;0;0;0;0;0;1
Cry For You [Dave Ramone Extended Mix]/Dave Ramone Extended Mix;0;0;1;0;0;0;0;0;0;1
When Love Takes Over [(Feat. Kelly Rowland) (Original Extended)]/(Feat. Kelly Rowland) (Original Extended);0;0;1;0;0;0;1;0;0;0
Acapulco (DJcity Intro);0;0;1;0;0;0;0;0;0;1
Because You Move Me - Extended Mix;0;0;1;1;0;0;0;0;0;0
Ab in den Süden [Radiocut]/Radiocut;0;0;1;1;0;0;0;0;0;0
Mi Gente;0;0;1;1;0;0;0;0;0;0
Con Calma;0;0;1;0;0;0;0;0;1;0
Rhythm Is A Dancer;0;0;1;0;0;0;1;0;0;0
The Black Pearl [Dave Darell Remix]/Dave Darell Remix;0;0;0;1;1;0;0;0;0;0
One More Time  (12 Mix);0;0;0;1;0;0;0;1;0;0
La Cintura;0;0;0;1;0;0;0;1;0;0
Macarena (New Cut);0;0;0;1;1;0;0;0;0;0
Null auf 100 - dB Extended Remix;0;0;0;1;0;1;0;0;0;0
Miami (album version);0;0;0;1;0;0;0;0;0;1
Take On Me (Remastered Album Version);0;0;0;1;0;0;0;0;0;1
Lovers on the Sun (feat. Sam Martin) (Extended);0;0;0;1;0;0;0;0;0;1
Polonäse Blankenese;0;0;0;1;1;0;0;0;0;0
Augenbling (G-Point`s Intro);0;0;0;1;0;1;0;0;0;0
On Repeat;0;0;0;1;0;0;0;1;0;0
Head & Heart (Clean Extended);0;0;0;1;0;1;0;0;0;0
The Race;0;0;0;0;1;0;0;1;0;0
Dished (Male Stripper);0;0;0;0;1;0;1;0;0;0
Let's Get It Started (HH Clean Intro);0;0;0;0;1;0;0;0;0;1
Boom Boom Pow Remix feat. Fatman Scoop & LMFAO;0;0;0;0;1;0;1;0;0;0
Niggas In Paris (DJ AndOne Scratch In Edit) (Dirty);0;0;0;0;1;0;1;0;0;0
Dickes B (Album-Version);0;0;0;0;1;1;0;0;0;0
Alles neu (Album Version) [Album Version]/Album Version;0;0;0;0;1;0;1;0;0;0
All Around The World;0;0;0;0;0;1;0;0;0;1
Stereo Love [Original Version]/Original Version;0;0;0;0;0;1;0;1;0;0
PARADISE - FEIER & EIS Remix;0;0;0;0;0;1;1;0;0;0
Show You Love;0;0;0;0;0;1;1;0;0;0
Jein;0;0;0;0;0;1;1;0;0;0
I'm Good (Blue) (Intro - Clean);0;0;0;0;0;1;0;1;0;0
Polka, Polka, Polka;0;0;0;0;0;1;1;0;0;0
Leev Marie;0;0;0;0;0;1;1;0;0;0
Wonderwall;0;0;0;0;0;1;1;0;0;0
Wildberry Lillet (DJcity Intro);0;0;0;0;0;1;1;0;0;0
Sunlight (feat. Years and Years) (Radio Edit);0;0;0;0;0;0;1;1;0;0
Outlines (Radio Edit);0;0;0;0;0;0;1;0;1;0
Übermorgen;0;0;0;0;0;0;1;0;0;1
Lola Get Down (DREZZ Mashup) (Clean Extended);0;0;0;0;0;0;1;0;1;0
Tobi Schagen;0;0;0;0;0;0;1;0;1;0
Destination Calabria [Club Mix]/Club Mix;0;0;0;0;0;0;0;1;0;1
Head Shoulders Knees & Toes (Clean Extended);0;0;0;0;0;0;0;1;0;1
Uptown Funk;0;0;0;0;0;0;0;1;0;1
Ride it (New Cut);0;0;0;0;0;0;0;1;0;1
Don't You (Forget About Me);0;0;0;0;0;0;0;1;0;1
Aint Nobody [Instrumental];0;0;0;0;0;1;0;0;0;0
On the Road Again;1;0;0;0;0;0;0;0;0;0
Jump (For My Love);1;0;0;0;0;0;0;0;0;0
Sweet Nothing (feat. Florence Welch);1;0;0;0;0;0;0;0;0;0
Physical;1;0;0;0;0;0;0;0;0;0
Million Voices;1;0;0;0;0;0;0;0;0;0
Until I Found You;1;0;0;0;0;0;0;0;0;0
Infinity 2008 - Klaas Vocal Mix;1;0;0;0;0;0;0;0;0;0
Crazy In Love;1;0;0;0;0;0;0;0;0;0
You Can Leave Your Hat On;1;0;0;0;0;0;0;0;0;0
Sunglasses At Night [Club Mix]/Club Mix;1;0;0;0;0;0;0;0;0;0
Poker Face;1;0;0;0;0;0;0;0;0;0
Mein Herz;1;0;0;0;0;0;0;0;0;0
Kölsch x Jax Jones - You Don't Know Grey (David Puentez Mashup) Intro Parookaville 2019;1;0;0;0;0;0;0;0;0;0
Gold Digger;1;0;0;0;0;0;0;0;0;0
Remmidemmi (Yippie Yippie Yeah);1;0;0;0;0;0;0;0;0;0
Easy;1;0;0;0;0;0;0;0;0;0
Bailando;1;0;0;0;0;0;0;0;0;0
Your Love (9PM) (Clean Extended);1;0;0;0;0;0;0;0;0;0
Pony;1;0;0;0;0;0;0;0;0;0
Shikidim;1;0;0;0;0;0;0;0;0;0
My Humps;1;0;0;0;0;0;0;0;0;0
You're My Heart, You're My Soul [New Version]/New Version;1;0;0;0;0;0;0;0;0;0
Freed from desire;1;0;0;0;0;0;0;0;0;0
Sugar Instrumental 1h;0;1;0;0;0;0;0;0;0;0
Sundown Live Mix 2017;0;1;0;0;0;0;0;0;0;0
Praise You - Purple Disco Machine Extended Remix;0;1;0;0;0;0;0;0;0;0
Sun Is Shining - Extended Version;0;1;0;0;0;0;0;0;0;0
Unforgettable - Alle Farben Remix [Extended Version];0;1;0;0;0;0;0;0;0;0
When The Beat Drops Out (Florian Paetzold Remix);0;1;0;0;0;0;0;0;0;0
Love Me Like You (Do Santoz ft Jonas Parker Remix);0;1;0;0;0;0;0;0;0;0
Perfect - Robin Schulz Remix;0;1;0;0;0;0;0;0;0;0
All My Life;0;1;0;0;0;0;0;0;0;0
Sommersprossen (Insturmental Mix);0;1;0;0;0;0;0;0;0;0
Wenn du schläfst - B-Case Remix;0;1;0;0;0;0;0;0;0;0
